Player,Pick,Minutes Played,DraftYear
Tobias Harris,19,31.7,2011
Donatas MotiejÅ«nas,20,18.2,2011
Nolan Smith,21,9.9,2011
Kenneth Faried,22,24.5,2011
Nikola MirotiÄ,23,24.2,2011
Reggie Jackson,24,24.7,2011
MarShon Brooks,25,17.3,2011
Jordan Hamilton,26,13.9,2011
JaJuan Johnson,27,8.3,2011
Norris Cole,28,22.3,2011
Cory Joseph,29,21.1,2011
Jimmy Butler,30,33.1,2011
Round 2,,Per Game,2011
Player,Pk,MP,2011
Bojan BogdanoviÄ,31,29.1,2011
Justin Harper,32,6.8,2011
Kyle Singler,33,21.9,2011
Shelvin Mack,34,18.4,2011
Tyler Honeycutt,35,5.0,2011
Jordan Williams,36,14.8,2011
Trey Thompkins,37,5.0,2011
Chandler Parsons,38,30.1,2011
Jeremy Tyler,39,9.9,2011
Jon Leuer,40,15.8,2011
Darius Morris,41,11.1,2011
DÄvis BertÄns,42,18.0,2011
Malcolm Lee,43,14.8,2011
Charles Jenkins,44,12.1,2011
Josh Harrellson,45,11.8,2011
Andrew Goudelock,46,9.7,2011
Travis Leslie,47,4.5,2011
Keith Benson,48,3.0,2011
Josh Selby,49,7.8,2011
Lavoy Allen,50,17.8,2011
Jon Diebler,51,,2011
Vernon Macklin,52,5.9,2011
DeAndre Liggins,53,10.8,2011
Milan MaÄvan,54,,2011
E'Twaun Moore,55,21.0,2011
Chukwudiebere Maduabum,56,,2011
Tanguy Ngombo,57,,2011
Ater Majok,58,,2011
ÃdÃ¡m Hanga,59,,2011
Isaiah Thomas,60,28.0,2011
Anthony Davis,1,34.5,2012
Michael Kidd-Gilchrist,2,24.6,2012
Bradley Beal,3,34.4,2012
Dion Waiters,4,28.2,2012
Thomas Robinson,5,13.4,2012
Damian Lillard,6,36.2,2012
Harrison Barnes,7,31.2,2012
Terrence Ross,8,24.5,2012
Andre Drummond,9,26.8,2012
Austin Rivers,10,23.8,2012
Meyers Leonard,11,15.9,2012
Jeremy Lamb,12,20.8,2012
Kendall Marshall,13,19.3,2012
John Henson,14,19.7,2012
Maurice Harkless,15,22.6,2012
Royce White,16,3.0,2012
Tyler Zeller,17,17.5,2012
Terrence Jones,18,23.8,2012
Andrew Nicholson,19,14.3,2012
Evan Fournier,20,27.7,2012
Jared Sullinger,21,24.3,2012
Fab Melo,22,6.0,2012
John Jenkins,23,12.8,2012
Jared Cunningham,24,7.2,2012
Tony Wroten,25,21.2,2012
Miles Plumlee,26,16.4,2012
Arnett Moultrie,27,12.4,2012
Perry Jones,28,11.7,2012
Marquis Teague,29,10.0,2012
Festus Ezeli,30,14.1,2012
Round 2,,Per Game,2012
Player,Pk,MP,2012
Jeff Taylor,31,19.4,2012
TomÃ¡Å¡ SatoranskÃ½,32,22.2,2012
Bernard James,33,8.3,2012
Jae Crowder,34,24.8,2012
Draymond Green,35,28.7,2012
Orlando Johnson,36,10.8,2012
Quincy Acy,37,16.0,2012
Quincy Miller,38,13.5,2012
Khris Middleton,39,30.7,2012
Will Barton,40,25.2,2012
Tyshawn Taylor,41,8.0,2012
Doron Lamb,42,12.7,2012
Mike Scott,43,16.5,2012
Kim English,44,9.9,2012
Justin Hamilton,45,17.4,2012
Darius Miller,46,19.8,2012
Kevin Murphy,47,3.1,2012
Kostas Papanikolaou,48,15.8,2012
Kyle O'Quinn,49,14.2,2012
Ä°zzet TÃ¼rkyÄ±lmaz,50,,2012
Kris Joseph,51,5.4,2012
Ognjen KuzmiÄ,52,4.4,2012
Furkan Aldemir,53,13.2,2012
Tornike Shengelia,54,5.5,2012
Darius Johnson-Odom,55,3.0,2012
Tomislav ZubÄiÄ,56,,2012
Ä°lkan Karaman,57,,2012
Robbie Hummel,58,14.3,2012
Marcus Denmon,59,,2012
Robert Sacre,60,14.5,2012
Anthony Bennett,1,12.6,2013
Victor Oladipo,2,32.2,2013
Otto Porter Jr.,3,25.4,2013
Cody Zeller,4,20.9,2013
